script_id	candidate_origin	classification	status	exit_code	duration_ms	runtime_request_profile	write_request_profile	runtime_request_count	write_request_count	reason
Z008-SCRIPT-001	Z008-CAND-001	PASS	PASS	0	53	NONE	NONE	0	0	null
Z008-SCRIPT-002	Z008-CAND-002	PASS	PASS	0	66	NONE	NONE	0	0	null
Z008-SCRIPT-003	Z008-CAND-003	PASS	PASS	0	1870	NONE	NONE	0	0	null
Z008-SCRIPT-004	Z008-CAND-004	PASS	PASS	0	5702	LOCAL_PYTEST_ONLY	NONE	0	0	null
Z008-SCRIPT-005	Z008-CAND-005	SKIPPED_BY_BOUNDARY	SKIPPED_BY_BOUNDARY	0	0	BROWSER_GET_ONLY	MUST_BE_ZERO	0	0	login_state_env_missing:Z009_BROWSER_LOGIN_READY
Z008-SCRIPT-006	Z008-CAND-006	PASS	PASS	0	62	NONE	NONE	0	0	null
Z008-SCRIPT-007	Z008-CAND-007	PASS	PASS	0	51	NONE	NONE	0	0	null
Z008-SCRIPT-008	Z008-CAND-008	PASS	PASS	0	1515	NONE	NONE	0	0	null
